VehicleID,InhouseSellerID,BuyerID,ModelID,SaleDate,BuyDate
<br>306687,82,245,84,2014-01-24,2013-05-16
<br>306689,82,245,84,2014-01-24,2013-05-16
<br>323242,71,37,7,2014-01-27,2013-10-22
<br>322041,71,37,7,2014-01-13,2013-05-23
<br>322040,71,37,7,2014-01-13,2013-05-23
<br>322562,71,71,16,2014-01-17,2013-07-15
<br>322563,71,71,16,2014-01-17,2013-07-15
<br>322564,71,71,16,2014-01-17,2013-07-15
<br>323243,71,37,7,2014-01-27,2013-10-22
<br>323331,71,37,7,2014-01-27,2013-10-22
<br>322591,71,40,121,2014-01-20,2013-07-25
<br>322590,71,40,121,2014-01-20,2013-07-25
<br>322589,71,40,121,2014-01-20,2013-07-25
<br>322597,71,40,121,2014-01-20,2013-07-25
<br>322598,71,40,121,2014-01-20,2013-07-25
<br>322599,71,40,121,2014-01-20,2013-07-25
<br>322600,71,40,121,2014-01-20,2013-07-25
<br>322593,71,40,121,2014-01-20,2013-07-25
<br>322594,71,40,121,2014-01-20,2013-07-25
<br>322595,71,40,121,2014-01-20,2013-07-25
<br>322596,71,40,121,2014-01-20,2013-07-25
<br>322592,71,40,121,2014-01-20,2013-07-25
<br>321952,71,71,121,2014-01-09,2013-07-25
<br>321951,71,71,121,2014-01-09,2013-07-25
<br>321956,71,71,121,2014-01-09,2013-07-25
<br>321957,71,71,121,2014-01-09,2013-07-25
<br>321958,71,71,121,2014-01-09,2013-07-25
<br>321959,71,71,121,2014-01-09,2013-07-25
<br>321960,71,71,121,2014-01-09,2013-07-25
<br>321953,71,71,121,2014-01-09,2013-07-25
<br>321954,71,71,121,2014-01-09,2013-07-25
<br>321955,71,71,121,2014-01-09,2013-07-25
<br>322011,71,40,84,2014-01-13,2013-07-25
<br>322012,71,40,84,2014-01-13,2013-07-25
<br>322013,71,40,84,2014-01-13,2013-07-25
<br>322014,71,40,84,2014-01-13,2013-07-25
<br>322015,71,40,84,2014-01-13,2013-07-25
<br>322016,71,40,84,2014-01-13,2013-07-25
<br>322017,71,40,84,2014-01-13,2013-07-25
<br>322018,71,40,84,2014-01-13,2013-07-25
<br>322019,71,40,84,2014-01-13,2013-07-25
<br>322020,71,40,84,2014-01-13,2013-07-25
<br>322021,71,40,84,2014-01-13,2013-07-25
<br>322022,71,40,84,2014-01-13,2013-07-25
